         4138279 function calls (4134817 primitive calls) in 69.816 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 Tkinter.py:377(Misc)
      270    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:28(<module>)
       30    0.000    0.000    0.000    0.000 {all}
       35    0.000    0.000    0.000    0.000 environment.py:123(remove_sprite)
      103    0.000    0.000    0.000    0.000 BmpImagePlugin.py:53(_accept)
       24    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
        1    0.000    0.000    0.000    0.000 _util.py:1(<module>)
      103    0.000    0.000    0.000    0.000 GifImagePlugin.py:46(_accept)
       70    0.000    0.000    0.000    0.000 <string>:8(__new__)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:35(<module>)
       54    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      187    0.000    0.000    0.000    0.000 {math.sqrt}
       71    0.000    0.000    0.000    0.000 sre_parse.py:257(_escape)
      244    0.000    0.000    0.000    0.000 collections.py:329(<genexpr>)
       35    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
       50    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 Image.py:447(Image)
       70    0.000    0.000    0.000    0.000 inspect.py:142(isfunction)
       70    0.000    0.000    0.000    0.000 inspect.py:209(iscode)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
        1    0.000    0.000    0.000    0.000 ascii.py:8(<module>)
        1    0.000    0.000    0.000    0.000 random.py:91(__init__)
       10    0.000    0.000    0.000    0.000 sre_parse.py:178(__init__)
        1    0.000    0.000    0.000    0.000 random.py:100(seed)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 hitbox.py:1(<module>)
       40    0.000    0.000    0.000    0.000 sre_parse.py:72(opengroup)
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
       40    0.000    0.000    0.000    0.000 sre_parse.py:225(_class_escape)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
       35    0.000    0.000    0.000    0.000 shapes.py:1045(set_text)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
        1    0.000    0.000    0.000    0.000 locale.py:546(getlocale)
       30    0.000    0.000    0.000    0.000 collections.py:355(<genexpr>)
      356    0.000    0.000    0.000    0.000 sre_compile.py:24(_identityfunction)
       18    0.000    0.000    0.000    0.000 {_struct.calcsize}
